last_email,weekend,same_day,avg_email_sent,opened_email,row_num,discount%,max_purchase_discount,last_pos_email,avg_days_between_purchases,purchase
1,0,1,0.5,1,1,40.0,40.0,0,0.0,1
1,0,0,32.4,1,167,0.0,0.0,163,2.25,1
0,0,0,64.2,0,326,15.0,0.0,3,35.5,0
0,0,0,32.5,0,134,10.0,0.0,67,3.0,0
0,0,0,254.66666666666663,0,767,0.0,20.0,446,11.5,0
1,0,0,6.5,0,15,10.0,10.0,14,2.0,1
1,0,1,56.60714285714285,0,1613,15.0,15.0,870,11.185185185185183,1
0,0,0,23.0,0,72,10.0,0.0,20,281.0,1
0,0,0,14.948717948717947,1,622,0.0,15.0,2,15.026315789473683,1
1,0,0,14.681818181818182,1,345,15.0,15.0,160,18.476190476190474,1
0,0,0,49.22222222222222,0,452,0.0,0.0,318,3.25,0
1,0,0,22.5,1,235,15.0,15.0,2,29.666666666666668,1
0,0,0,1.0,1,0,40.0,40.0,0,0.0,1
1,0,1,3.4,0,44,0.0,0.0,13,5.444444444444445,1
0,0,0,29.0,1,120,15.0,15.0,114,1.0,1
0,0,0,0.0,0,38,15.0,0.0,39,0.0,0
1,0,0,74.75,1,606,0.0,0.0,102,39.0,0
0,0,0,30.0,1,31,0.0,0.0,31,0.0,1
0,0,0,0.0,0,135,0.0,0.0,136,0.0,0
1,0,0,13.4,0,288,0.0,0.0,219,3.5789473684210527,1
0,0,0,67.8,0,688,15.0,15.0,274,26.444444444444443,0
1,0,1,37.333333333333336,0,115,10.0,10.0,77,82.0,1
1,0,0,0.8,0,9,40.0,40.0,0,19.0,1
0,0,0,35.666666666666664,0,220,15.0,0.0,69,56.4,0
1,0,1,55.75,0,227,10.0,10.0,224,0.0,1
1,0,1,28.5,0,177,15.0,15.0,106,39.4,1
0,0,0,0.0,1,142,0.0,0.0,143,0.0,0
0,0,0,24.666666666666668,0,77,0.0,0.0,2,90.5,1
1,0,1,24.8,0,129,15.0,15.0,77,19.5,1
1,0,1,56.333333333333336,0,172,0.0,0.0,170,0.0,1
0,0,0,38.69230769230769,1,516,10.0,15.0,250,5.333333333333333,0
0,0,0,115.14285714285714,0,813,0.0,0.0,60,61.833333333333336,0
0,0,0,3.0,0,4,0.0,0.0,0,0.0,0
1,0,0,4.5,0,11,0.0,0.0,10,7.0,1
1,0,0,32.44444444444444,0,602,15.0,15.0,106,64.05882352941177,1
0,0,0,70.0,1,71,25.0,25.0,71,0.0,1
0,0,0,101.66666666666669,0,308,15.0,0.0,153,3.5,0
0,0,0,103.25,1,417,15.0,20.0,345,1.6666666666666667,0
0,0,0,0.0,1,589,15.0,0.0,590,0.0,0
0,0,0,4.0,1,5,0.0,0.0,5,0.0,1
1,1,0,5.5,1,13,0.0,0.0,12,9.0,1
0,0,0,0.0,0,396,0.0,0.0,397,0.0,0
1,0,1,4.181818181818182,0,57,15.0,15.0,40,0.3,1
0,0,0,0.0,1,1,15.0,0.0,2,0.0,0
0,0,0,44.0,0,45,20.0,20.0,45,0.0,1
0,0,0,134.0,1,135,15.0,0.0,0,0.0,0
0,0,0,21.0,0,22,0.0,0.0,22,0.0,1
1,1,1,0.0,1,4,15.0,15.0,1,0.0,1
0,0,0,1.0,0,0,0.0,0.0,0,0.0,1
0,0,0,44.30769230769231,1,589,0.0,15.0,18,21.25,1
0,0,0,0.0,0,9,0.0,0.0,10,0.0,0
0,0,0,92.9090909090909,0,1033,0.0,0.0,60,54.5,1
0,0,0,54.66666666666666,1,334,15.0,10.0,110,94.8,0
0,0,0,0.0,0,1,0.0,0.0,1,0.0,1
0,0,0,70.5,1,2145,0.0,0.0,102,41.3448275862069,1
1,0,1,17.7,1,187,15.0,15.0,162,10.0,1
1,0,0,0.6666666666666666,0,5,0.0,0.0,3,2.5,1
0,0,0,0.0,0,91,10.0,0.0,92,0.0,0
1,0,1,70.44444444444444,0,1286,15.0,0.0,60,43.1764705882353,1
0,0,0,279.75,0,1123,0.0,0.0,919,112.66666666666669,0
0,0,0,88.66666666666667,1,269,0.0,0.0,11,512.5,1
0,0,0,14.090909090909092,0,166,20.0,10.0,67,28.6,1
0,0,0,76.54545454545455,0,853,15.0,15.0,92,44.1,0
0,0,0,110.5,1,223,15.0,10.0,70,0.0,0
0,0,0,32.0,0,33,10.0,10.0,33,0.0,1
0,0,0,0.0,1,36,0.0,0.0,37,0.0,0
0,0,0,33.0,0,136,0.0,0.0,0,1.6666666666666667,0
0,0,0,0.0,0,240,15.0,0.0,241,0.0,0
1,1,1,38.75,1,159,15.0,0.0,72,71.0,1
1,0,1,22.916666666666668,1,287,15.0,15.0,79,32.18181818181818,1
1,0,1,0.5,0,1,40.0,40.0,0,0.0,1
0,0,0,8.75,0,78,0.0,0.0,58,2.7142857142857144,1
0,0,0,61.1875,1,995,10.0,0.0,41,36.73333333333333,0
0,0,0,0.0,0,53,10.0,0.0,54,0.0,0
1,0,1,8.2,0,92,0.0,0.0,10,11.666666666666666,1
0,0,0,0.0,0,307,0.0,0.0,308,0.0,0
0,0,0,0.0,0,19,15.0,0.0,20,0.0,0
1,0,1,0.25,1,3,15.0,15.0,0,0.0,1
1,0,0,16.0,0,34,15.0,15.0,33,1.0,1
0,0,0,104.0,0,315,10.0,0.0,29,169.0,0
1,0,1,72.2,1,366,10.0,10.0,64,169.5,1
0,0,0,0.0,0,30,10.0,0.0,31,0.0,0
1,0,1,63.66666666666666,1,388,15.0,15.0,45,50.2,1
0,0,0,52.1,0,531,0.0,15.0,369,47.66666666666666,1
1,0,0,18.57894736842105,1,372,15.0,0.0,31,48.333333333333336,1
