,users,users_received_1,campaign_type_1,opened_1,camp_volume_1,users_received_8,campaign_type_8,opened_8,camp_volume_8,users_received_16,campaign_type_16,opened_16,camp_volume_16,disc1_pre_3days,disc1_pre_6day,disc1_pre_14dat,disc2_pre_4days,disc2_pre_7day,disc2_pre_14day,disc3_pre_1day,disc4_pre_2day,disc5_pre_1day,disc5_pre_13day,products_pre_3days,products_pre_7day,products_pre_14day,new_users_pre_3days,new_users_pre_7day,new_users_pre_14day,volume_pre_3days,volume_pre_7day,volume_pre_14day,full_revenue_pre_3days,full_revenue_pre_7day,full_revenue_pre_14day,year,month
215,1.0,0.0,0.0,0.0,0.0,100.0,2.0,22.0,100.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,10.0,3.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,1.0,2.0,2.0,1.0,11.0,4.0,1.0,36150.0,14900.0,2000.0,2015,12
216,2.0,123.0,3.0,30.0,125.0,126.0,13.0,46.0,127.0,134.0,1.0,36.0,134.0,2.0,0.0,0.0,7.0,0.0,1.0,3.0,0.0,0.0,0.0,9.0,2.0,1.0,3.0,0.0,0.0,11.0,2.0,2.0,35250.0,5100.0,4000.0,2015,12
217,1.0,0.0,0.0,0.0,0.0,59.0,1.0,3.0,59.0,99.0,1.0,25.0,99.0,1.0,0.0,1.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,11.0,2.0,1.0,37475.0,5400.0,2500.0,2015,12
219,1.0,0.0,0.0,0.0,0.0,136.0,2.0,28.0,137.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,1.0,6.0,3.0,2.0,17950.0,8950.0,8000.0,2015,12
221,0.0,140.0,1.0,43.0,140.0,123.0,3.0,30.0,125.0,100.0,2.0,22.0,100.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,1.0,0.0,1.0,5.0,5.0,1.0,17175.0,18450.0,5825.0,2015,12
222,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,4.0,32.0,112.0,2.0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,3.0,1.0,2.0,5.0,3.0,4.0,20450.0,8050.0,14900.0,2016,1
223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,1.0,3.0,59.0,3.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,4.0,0.0,0.0,6.0,3.0,2.0,25850.0,10975.0,5100.0,2016,1
225,2.0,4.0,3.0,2.0,4.0,140.0,1.0,43.0,140.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,0.0,1.0,5.0,2.0,3.0,15100.0,4650.0,8400.0,2016,1
226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,3.0,30.0,125.0,6.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,7.0,1.0,2.0,3.0,0.0,0.0,7.0,1.0,3.0,18900.0,2200.0,8950.0,2016,1
227,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,1.0,12.0,96.0,6.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,3.0,1.0,2.0,7.0,2.0,3.0,18500.0,10325.0,8750.0,2016,1
229,0.0,107.0,3.0,31.0,107.0,4.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0,2.0,5.0,1.0,1.0,8.0,2.0,3.0,19300.0,7600.0,8050.0,2016,1
230,1.0,6.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,140.0,1.0,43.0,140.0,4.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,7.0,1.0,2.0,5.0,1.0,0.0,8.0,1.0,3.0,21000.0,3000.0,10975.0,2016,1
231,2.0,45.0,1.0,9.0,45.0,24.0,1.0,9.0,24.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,4.0,0.0,0.0,5.0,2.0,1.0,13300.0,4500.0,2325.0,2016,1
232,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,2.0,2.0,0.0,5.0,4.0,2.0,12800.0,11400.0,4650.0,2016,1
233,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,2.0,1.0,0.0,6.0,1.0,1.0,13400.0,2600.0,2200.0,2016,1
236,0.0,107.0,2.0,28.0,107.0,107.0,3.0,31.0,107.0,144.0,2.0,42.0,144.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,2.0,3.0,1.0,1.0,7.0,1.0,2.0,17900.0,4300.0,7600.0,2016,1
237,1.0,1.0,1.0,1.0,1.0,6.0,3.0,0.0,6.0,4.0,3.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,8.0,2.0,1.0,6.0,1.0,1.0,10.0,2.0,1.0,26600.0,4500.0,3000.0,2016,1
238,0.0,39.0,3.0,11.0,39.0,45.0,1.0,9.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,1.0,2.0,7.0,0.0,0.0,10.0,2.0,2.0,25800.0,4000.0,4500.0,2016,1
239,1.0,117.0,2.0,24.0,117.0,1.0,1.0,0.0,1.0,24.0,1.0,9.0,24.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,5.0,2.0,4.0,8.0,1.0,2.0,9.0,2.0,4.0,22100.0,4900.0,11400.0,2016,1
242,4.0,160.0,1.0,53.0,160.0,107.0,2.0,28.0,107.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,2.0,2.0,1.0,2.0,8.0,3.0,2.0,21600.0,8900.0,4500.0,2016,1
243,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,107.0,3.0,31.0,107.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,3.0,1.0,3.0,4.0,1.0,12.0,4.0,1.0,33100.0,10900.0,4300.0,2016,1
