,volume,disc1,disc2,disc3,disc4,disc5,users
1233,13,5.0,7.0,1.0,0.0,0.0,12
1234,11,2.0,5.0,4.0,0.0,0.0,7
1235,7,1.0,6.0,0.0,0.0,0.0,7
1236,20,10.0,7.0,3.0,0.0,0.0,20
1237,19,4.0,10.0,5.0,0.0,0.0,14
1238,18,4.0,10.0,4.0,0.0,0.0,14
1239,18,4.0,10.0,3.0,1.0,0.0,15
1240,14,5.0,7.0,2.0,0.0,0.0,14
1241,7,5.0,2.0,0.0,0.0,0.0,5
1242,12,2.0,7.0,3.0,0.0,0.0,10
1243,17,2.0,5.0,10.0,0.0,0.0,10
1244,19,1.0,14.0,4.0,0.0,0.0,16
1245,22,3.0,15.0,4.0,0.0,0.0,17
1246,34,2.0,17.0,15.0,0.0,0.0,26
1247,23,3.0,10.0,9.0,0.0,1.0,19
1248,16,5.0,8.0,3.0,0.0,0.0,12
1249,7,1.0,4.0,2.0,0.0,0.0,7
1250,36,6.0,19.0,11.0,0.0,0.0,30
1251,22,4.0,16.0,2.0,0.0,0.0,19
1252,40,7.0,26.0,7.0,0.0,0.0,29
1253,23,9.0,12.0,2.0,0.0,0.0,19
1254,13,5.0,5.0,3.0,0.0,0.0,12
1255,3,2.0,0.0,1.0,0.0,0.0,3
1256,2,0.0,2.0,0.0,0.0,0.0,2
1257,1,1.0,0.0,0.0,0.0,0.0,1
1258,1,1.0,0.0,0.0,0.0,0.0,1
1259,3,1.0,2.0,0.0,0.0,0.0,3
1260,5,1.0,3.0,1.0,0.0,0.0,5
1261,16,2.0,12.0,2.0,0.0,0.0,11
1262,4,1.0,2.0,1.0,0.0,0.0,4
1263,9,3.0,6.0,0.0,0.0,0.0,9
1264,3,0.0,2.0,1.0,0.0,0.0,3
1265,4,3.0,1.0,0.0,0.0,0.0,4
1266,18,3.0,10.0,5.0,0.0,0.0,15
1267,17,5.0,9.0,3.0,0.0,0.0,16
1268,7,2.0,2.0,3.0,0.0,0.0,7
1269,8,3.0,3.0,2.0,0.0,0.0,8
1270,5,2.0,2.0,1.0,0.0,0.0,5
1271,11,1.0,6.0,4.0,0.0,0.0,11
1272,13,5.0,6.0,2.0,0.0,0.0,12
1273,14,6.0,5.0,3.0,0.0,0.0,10
1274,19,9.0,6.0,3.0,1.0,0.0,17
1275,9,2.0,6.0,1.0,0.0,0.0,9
1276,6,0.0,2.0,4.0,0.0,0.0,5
1277,10,4.0,3.0,3.0,0.0,0.0,9
1278,19,6.0,13.0,0.0,0.0,0.0,17
1279,18,1.0,13.0,4.0,0.0,0.0,17
1280,8,2.0,5.0,1.0,0.0,0.0,8
1281,13,5.0,5.0,3.0,0.0,0.0,12
1282,10,4.0,6.0,0.0,0.0,0.0,9
1283,3,1.0,1.0,1.0,0.0,0.0,3
1284,14,8.0,3.0,3.0,0.0,0.0,13
1285,19,2.0,11.0,6.0,0.0,0.0,17
1286,12,4.0,5.0,3.0,0.0,0.0,11
1287,9,3.0,4.0,2.0,0.0,0.0,9
1288,21,5.0,12.0,4.0,0.0,0.0,20
1289,13,4.0,9.0,0.0,0.0,0.0,12
1290,6,1.0,3.0,1.0,1.0,0.0,5
1291,15,2.0,13.0,0.0,0.0,0.0,13
1292,11,1.0,9.0,1.0,0.0,0.0,8
1293,15,6.0,9.0,0.0,0.0,0.0,14
1294,9,3.0,5.0,1.0,0.0,0.0,7
1295,18,0.0,10.0,7.0,0.0,1.0,15
